country,manufacturing_site,vendor,molecule_test_type,brand,scheduled_delivery_date_y,manufacturing_site_idsum,manufacturing_site_idcount,manufacturing_site_idmean,manufacturing_site_packsum,manufacturing_site_packcount,manufacturing_site_packmean,manufacturing_site_quantitysum,manufacturing_site_quantitycount,manufacturing_site_quantitymean,manufacturing_site_valuesum,manufacturing_site_valuecount,manufacturing_site_valuemean,manufacturing_site_pricesum,manufacturing_site_pricecount,manufacturing_site_pricemean,manufacturing_site_pricesum,manufacturing_site_pricecount,manufacturing_site_pricemean,manufacturing_site_designationsum,manufacturing_site_designationcount,manufacturing_site_designationmean,manufacturing_site_usdsum,manufacturing_site_usdcount,manufacturing_site_usdmean,manufacturing_site_calculatedsum,manufacturing_site_calculatedcount,manufacturing_site_calculatedmean,manufacturing_site_calculatedsum,manufacturing_site_calculatedcount,manufacturing_site_calculatedmean
Zambia,ABBVIE Ludwigshafen Germany,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Aluvia,2007,257754,26,9913.615384615385,3120,26,120.0,52460,26,2017.6923076923076,2320024.2,26,89231.70000000001,1274.1,26,49.00384615384615,10.540000000000001,26,0.4053846153846154,21,26,0.8076923076923077,3608.4900000000002,26,138.78807692307694,48202.18200316884,26,1853.9300770449554,644236.594990584,26,24778.330576560922
Vietnam,ABBVIE Ludwigshafen Germany,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Aluvia,2007,257754,26,9913.615384615385,3120,26,120.0,52460,26,2017.6923076923076,2320024.2,26,89231.70000000001,1274.1,26,49.00384615384615,10.540000000000001,26,0.4053846153846154,21,26,0.8076923076923077,3608.4900000000002,26,138.78807692307694,48202.18200316884,26,1853.9300770449554,644236.594990584,26,24778.330576560922
Vietnam,ABBVIE Ludwigshafen Germany,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Aluvia,2007,257754,26,9913.615384615385,3120,26,120.0,52460,26,2017.6923076923076,2320024.2,26,89231.70000000001,1274.1,26,49.00384615384615,10.540000000000001,26,0.4053846153846154,21,26,0.8076923076923077,3608.4900000000002,26,138.78807692307694,48202.18200316884,26,1853.9300770449554,644236.594990584,26,24778.330576560922
Vietnam,ABBVIE Ludwigshafen Germany,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Aluvia,2007,257754,26,9913.615384615385,3120,26,120.0,52460,26,2017.6923076923076,2320024.2,26,89231.70000000001,1274.1,26,49.00384615384615,10.540000000000001,26,0.4053846153846154,21,26,0.8076923076923077,3608.4900000000002,26,138.78807692307694,48202.18200316884,26,1853.9300770449554,644236.594990584,26,24778.330576560922
Vietnam,ABBVIE Ludwigshafen Germany,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Aluvia,2007,257754,26,9913.615384615385,3120,26,120.0,52460,26,2017.6923076923076,2320024.2,26,89231.70000000001,1274.1,26,49.00384615384615,10.540000000000001,26,0.4053846153846154,21,26,0.8076923076923077,3608.4900000000002,26,138.78807692307694,48202.18200316884,26,1853.9300770449554,644236.594990584,26,24778.330576560922
Zambia,ABBVIE Ludwigshafen Germany,SCMS from RDC,Lopinavir/Ritonavir,Aluvia,2007,257754,26,9913.615384615385,3120,26,120.0,52460,26,2017.6923076923076,2320024.2,26,89231.70000000001,1274.1,26,49.00384615384615,10.540000000000001,26,0.4053846153846154,21,26,0.8076923076923077,3608.4900000000002,26,138.78807692307694,48202.18200316884,26,1853.9300770449554,644236.594990584,26,24778.330576560922
Zambia,ABBVIE Ludwigshafen Germany,SCMS from RDC,Lopinavir/Ritonavir,Aluvia,2007,257754,26,9913.615384615385,3120,26,120.0,52460,26,2017.6923076923076,2320024.2,26,89231.70000000001,1274.1,26,49.00384615384615,10.540000000000001,26,0.4053846153846154,21,26,0.8076923076923077,3608.4900000000002,26,138.78807692307694,48202.18200316884,26,1853.9300770449554,644236.594990584,26,24778.330576560922
Mozambique,ABBVIE Ludwigshafen Germany,SCMS from RDC,Lopinavir/Ritonavir,Aluvia,2007,257754,26,9913.615384615385,3120,26,120.0,52460,26,2017.6923076923076,2320024.2,26,89231.70000000001,1274.1,26,49.00384615384615,10.540000000000001,26,0.4053846153846154,21,26,0.8076923076923077,3608.4900000000002,26,138.78807692307694,48202.18200316884,26,1853.9300770449554,644236.594990584,26,24778.330576560922
Côte d'Ivoire,ABBVIE Ludwigshafen Germany,SCMS from RDC,Lopinavir/Ritonavir,Aluvia,2007,257754,26,9913.615384615385,3120,26,120.0,52460,26,2017.6923076923076,2320024.2,26,89231.70000000001,1274.1,26,49.00384615384615,10.540000000000001,26,0.4053846153846154,21,26,0.8076923076923077,3608.4900000000002,26,138.78807692307694,48202.18200316884,26,1853.9300770449554,644236.594990584,26,24778.330576560922
Zimbabwe,ABBVIE Ludwigshafen Germany,SCMS from RDC,Lopinavir/Ritonavir,Aluvia,2007,257754,26,9913.615384615385,3120,26,120.0,52460,26,2017.6923076923076,2320024.2,26,89231.70000000001,1274.1,26,49.00384615384615,10.540000000000001,26,0.4053846153846154,21,26,0.8076923076923077,3608.4900000000002,26,138.78807692307694,48202.18200316884,26,1853.9300770449554,644236.594990584,26,24778.330576560922
